单词,解释
play,"play
  [played, played, playing]
 play along 
  1.   play along to pretend to agree with someone or to do what they want you to do, in order to avoid annoying them or to get some advantage:
   ▪ Hugh realized that the only way to get more information was to play along.
   + with
   ▪ I was surprised when she introduced me as her uncle, but I played along with it.
  2.   play sb along to deliberately encourage someone to believe something that is not true, especially that you intend to marry them:
   ▪ Marcus has been playing that poor girl along for years.
   ■ SIMILAR TO: ↑string along  informal
 play around 
  1.   play around/about informal to behave in a silly way or waste time, when you should be being sensible:
   ▪ In this business you can't play around - you have to be in control all the time.
   ▪ We didn't mean to hurt him. We were just playing around, that's all.
   ■ SIMILAR TO: ↑fool around, ↑mess around  informal
  2.   play around/about informal to have a lot of different sexual relationships, or to have a sexual relationship with someone who is not your husband, wife, or usual partner:
   ▪ I played around a bit when I was young, but now I've settled down with one man.
   + with
   ▪ He started playing around with younger women.
   ■ SIMILAR TO: ↑sleep around, ↑screw around  spoken informal
 play around with 
  1.   play around/about with sth informal to think about or try different ideas or different ways of doing something, especially before deciding which ones are best:
   ▪ I like to play around with different recipes and ingredients.
   ▪ It's a great song - apparently the group just got together and played around with different rhythms until they came up with it.
   ■ SIMILAR TO: experiment (with), ↑try out
  2.   play around/about with sth informal to change something when it is not safe or sensible to do this:
   ▪ Don't play around with his diet while he's ill - stick to simple food.
   ▪ I don't think you should play about with a young girl's future like that.
   ■ SIMILAR TO: mess around with  informal
 play at 
  1.  what's sb playing at? BrE spoken informal if you ask what someone is playing at, you want to know what they are doing or why they are doing it, because you are very surprised or annoyed by it:
   ▪ What the hell do you think you're playing at - going out at this time of night?
  2.   play at sb/sth to pretend to be a particular type of person or to do a particular thing, usually as a game:
   ▪ Little girls often play at doctors and nurses.
   play at doing sth
   ▪ two little old ladies who were playing at being detectives
   ■ SIMILAR TO: pretend to be
  3.   play at sth to do a job or activity for only part of the time, and without being very serious about it:
   ▪ If you're serious about politics, you can't just play at it - it's your whole life.
 play back 
  1.   play back sth • play sth back to listen to or watch something that has recently been recorded on a tape:
   ▪ He got home about midnight and played back the messages on his answerphone.
   ▪ As part of your training, we will record you teaching a class and then play it back to you.
  2.   play back • play back sth • play sth back if a machine plays back sound or pictures, it produces them when you operate it:
   ▪ VHS machines can record and play back at three different speeds.
    playback n  U when a machine produces the sound or pictures that are recorded on a tape:
   ▪ This machine has very high quality video playback.
   ▪ the playback speed
 play down 
  1.   play down sth • play sth down to try to make people believe that something is less important or serious than it really is:
   ▪ The government has been trying to play down the scandal.
   play down the importance/seriousness/significance etc of sth
   ▪ State department officials sought to play down the significance of the visit.
   ■ OPPOSITE: exaggerate
  2.   play down sth • play sth down to try to make people believe that something is not likely to happen:
   ▪ Senior management has repeatedly played down the possibility of further redundancies.
   play down suggestions/expectations/fears etc
   ▪ Burns played down expectations of a breakthrough in negotiations.
  3.   play down sth • play sth down to try to make an emotion that you are feeling less noticeable to other people:
   ▪ Donald tried to play down the fear in his voice.
   ▪ &quot;I expect he'll be late,&quot; Cathy said, playing down her excitement.
 play off 
  1.   play off especially BrE if people or teams that have the same number of points play off, they play the last game in a sports competition, in order to decide which one is the winner:
   ▪ At the end of the season, the top two teams will play off at Twickenham for the title.
    play-off n  C a match between people or teams who have the same number of points, in order to decide the winner:
   ▪ Leeds fans will be able to watch their team's European Cup play-off against Stuttgart on Friday.
   ▪ the play-off final at Wembley
  2.   play off sth AmE to deliberately use a fact, idea, or emotion in order to get what you want, often in an unfair way:
   ▪ This television show plays off the fears that many people in our society and culture have.
   ■ SIMILAR TO: ↑play on/upon, exploit
  3.  play off each other AmE if two or more people or things play off each other, they go well together, and each one makes the other's good qualities more noticeable:
   ▪ During the interview the two brothers played off each other effectively.
   ▪ Seeing the majority of the artist's works together in one place is valuable, because they play off each other so well.
   ■ SIMILAR TO: complement
 play off against 
     play sb/sth off against sb/sth • play off sb/sth against sb/sth to encourage one person or group to compete or argue with another, in order to get some advantage for yourself:
   ▪ The seller's intention is to play one buyer off against another.
   ▪ At this age children often begin to test relationships - playing each parent off against the other, for example.
 play on 
  1.   play on BrE to continue playing in a game of sport, even after an injury, or when someone has broken the rules:
   ▪ John Simpkins played on, despite an early injury.
   ▪ The referee signalled to play on.
  2.   play on to continue playing a musical instrument, even though something has happened which might have stopped you:
   ▪ The conductor suddenly walked out, but the orchestra played on.
 play on/upon ! Play upon is more formal than play on and is mostly used in writing
  1.   play on/upon sth to deliberately use a fact, idea, or emotion in order to do or get what you want, often in an unfair way:
   ▪ Advertising achieves its aim by playing on our weaknesses and emotions.
   ▪ The party's campaign played on the fear amongst white voters at the pace of de Klerk's reforms.
   ■ SIMILAR TO: exploit, ↑play off  AmE
  2.   play on sth especially AmE to use your position, influence, or strong qualities in order to do or get what you want, often in an unfair way:
   ▪ Some people said that she had played on her connections in order to get the job.
  3.  play on sb's mind if something plays on your mind, you cannot stop thinking about it, and it worries or upsets you:
   ▪ &quot;It wasn't your fault,&quot; Martha said. &quot;You mustn't let it play on your mind.&quot;
  4.   play on sth literary if light plays on a surface or an object, it falls on it and moves backwards and forwards across it:
   ▪ Daniel watched the sunlight playing on the roofs of the fishing village.
 play out 
  1. be played out if an event is played out, especially an exciting or important one, it takes place:
   ▪ The final scenes of their marriage were played out in a villa in St Tropez.
   ▪ At the time, this was just one of many conflicts being played out on the world stage.
   play out/play itself out especially AmE if an event plays out or plays itself out, it happens and finally ends with a particular result - used especially when you are considering what might happen:
   ▪ I don't know if he'll win again. We'll just have to see how the election plays out.
   ▪ No one knows yet how the debate on GM foods will play out.
  2.   play out sth to act part of a play or film or pretend to be a particular type of person:
   ▪ The teacher chose three of the older children to play out the scene.
   ▪ Now she was a teenager, she could no longer play out the role of Daddy's little girl.
   ■ SIMILAR TO: ↑act out
  3.   play out sth • play sth out if people play out their feelings, dreams etc, they express them by pretending that a particular situation is really happening:
   ▪ In a novel the writer is able to play out his own strange fantasies.
   ■ SIMILAR TO: ↑act out
  4.  play out your career/the season etc to continue playing, especially for the same team, until the end of your career, until the end of the season etc:
   ▪ He turned down a contract offer that would have allowed him to play out his career with Kings.
  5.  be played out to be so tired that you cannot do anything else:
   ▪ Lou's voice trailed into silence. She was played out - too exhausted even to weep.
   ■ SIMILAR TO: be worn out, be shattered
  6.  be played out if a mine is played out, all the coal, gold etc has been taken out of the ground:
   ▪ These people had hard lives, and when the mines played out, they moved on.
 play through 
     play sth through • play through sth to play a piece of music from the beginning to the end:
   ▪ When I played the song through, it felt like I was young again.
   ▪ The four of them played through Mozart's string quartets.
 play up 
  1.   play up sth • play sth up to emphasize a quality or a fact, in order to attract people's attention to it or to make it seem more important than it really is:
   ▪ When applying for a job, it's a good idea to play up your strong points in the opening paragraph.
   ▪ The newspapers would certainly play it up big - the murder of an American on the Appian Way.
   ■ OPPOSITE: play down
  2.   play up • play sb up  not passive, usually progressive BrE informal if a part of your body plays up or plays you up, it causes you pain or trouble:
   ▪ Lawton's stomach was beginning to play him up.
   ▪ Bertie had given up alcohol because his heart was playing up.
  3.   play up  usually progressive BrE informal if a machine, an electrical system etc plays up, it is not working as well as it should:
   ▪ Is it all right if I borrow your car - My Renault's been playing up a bit recently.
   ▪ Nothing happened when I turned on the light - this was not a good time for the electrics to be playing up.
  4.   play up • play sb up • play up sb BrE informal if children play up, or play someone up, they behave badly and cause trouble for the adult they are with, especially deliberately as a way of having fun:
   ▪ Some of the boys in our class really played up - especially when a teacher was new.
   ▪ Playing the teacher up was considered a normal part of school.
 play up to 
  1.   play up to sb to try to make someone like you by behaving in a way you think will please them:
   ▪ Angy always played up to men - she enjoyed seeing how they reacted to her.
   ▪ Our speakers did not play up to reporters by handing them their speeches in advance.
  2.  play up to an image/stereotype to behave in a way that people expect you to behave, because they think you are a particular type of person:
   ▪ Kevin Costner was considered a bit wild around Hollywood, and he played up to that image in the film True Romance.
 play upon 
   ► see ↑play on/upon
 play with 
  1.   play with sth to keep touching something, or moving it from one position to another:
   ▪ Charlene was walking up and down and playing with her hair.
   ▪ All the time we were talking, he was playing with the money in his pocket.
   ■ SIMILAR TO: fiddle (with)
  2.   play with sth to try using different types of something, or different ways of doing something, especially before deciding which one is best:
   ▪ Making soup is a marvellous way of playing with different flavours.
   ▪ As an artist, he played with a variety of techniques.
   ■ SIMILAR TO: ↑play around with
  3.   play with sth to consider an idea or a possibility, but not very seriously
   play with the idea of doing sth
   ▪ When I left university, I played with the idea of teaching for a while.
   play with the possibility that
   ▪ There was a wonderful scene in the film, in which Willie and Marty play with the possibility that they could become lovers.
   ■ SIMILAR TO: ↑toy with
  4.   play with sb/sth to treat someone in a way that is not sincere or fair and is likely to upset them, for example by pretending to love them:
   ▪ I hope you're not playing with Jane's feelings - she's such a nice person.
  5.   play with sth if you play with words or ideas, you use them in a clever and unusual way in order to be funny:
   ▪ In all of his novels, Terry Pratchett has a way of playing with words that makes people laugh out loud.
  6.  have time/money etc to play with to have time, money etc that is still available to be used:
   ▪ Don't panic - we've got plenty of time to play with!
   ▪ We'd spent all our money on a house, so there wasn't much left to play with.
  7.  be playing with fire to be doing or dealing with something that is very difficult or dangerous:
   ▪ In dealing directly with terrorist organizations, the government is really playing with fire.
  8.  play with yourself informal to touch your own sexual organs in order to give yourself pleasure:
   ▪ One of the teachers found him playing with himself in the showers.
   ■ SIMILAR TO: masturbate, ↑jerk off  AmE informal, ↑toss off  BrE informal"
pledge,"- n. 抵押；保证，誓言；抵押品，典当物
- vt. 保证，许诺；用……抵押；举杯祝……健康


时 态:  
pledged, pledging, pledges"
plunge,"plunge
  [plunged, plunged, plunging]
 plunge in 
     plunge in to start talking or doing something quickly and confidently, without thinking about it or preparing for it:
   ▪ It would have been better to let her explain her problems before plunging in with a lot of advice.
   ▪ I didn't really understand the conversation but I wanted to practise my French, so I plunged in anyway.
   ■ SIMILAR TO: ↑dive in
 plunge into 
  1.   plunge sth into sth to push something firmly and deeply into something else:
   ▪ Plunge the asparagus into boiling water.
   ▪ Jill plunged her hands deep into her pockets.
  2.   plunge sth/sb into sth • plunge into sth  usually passive to suddenly cause someone to be in a bad situation or state or to suddenly get into a bad situation or state:
   ▪ The whole team was plunged into gloom after their humiliating defeat.
   ▪ Another massacre has plunged Algeria into a new cycle of violence.
   ▪ Saatchi and Saatchi, the world's largest advertising group, plunged into debt after its reorganization.
  3.  plunge sth/sb into darkness to suddenly make a place dark so that the people in it have no light:
   ▪ There was a loud bang and the whole building was plunged into darkness.
   ▪ A sudden gust of wind blew the lamp out plunging us all into darkness.
  4.   plunge into sth to suddenly begin to take part in something without thinking about the possible results:
   ▪ You need to work out your finances carefully, before you plunge into the housing market.
   ▪ Forsyth plunged into a series of disputes that was to end in his downfall.
   ■ SIMILAR TO: ↑dive into"
plunging,"adj. 跳进的,突进的"
plush,"- adj. 豪华的；长毛绒做的；舒服的
- n. 长毛绒


比较级:  
plusher, plushest"
pocket,"- n. 口袋；钱；容器
- vt. 隐藏；忍受；将…放入衣袋
- vi. 形成袋或囊
- adj. 小型的，袖珍的；金钱上的


时 态:  
pocketed, pocketing, pockets 

形容词:  
pocketable"
polish,"polish
  [polished, polished, polishing]
 polish off  informal
  1.   polish off sth • polish sth off to finish food, drink, or work, quickly and easily:
   ▪ When I got home, Mrs Marsh had polished off half the biscuits in the tin.
   ▪ It didn't take me long to polish off the shopping at the local supermarket.
  2.   polish off sb informal to defeat another person or team in a game, election etc:
   ▪ Steffi Graff polished off Venus Williams, 6-2, 3-6, 6-4.
   ■ SIMILAR TO: ↑beat, defeat
 polish up 
  1.   polish up sth • polish sth up to improve your knowledge of something, or something that you do, by practising it or working at it:
   ▪ I started going to evening classes to polish up my French.
   polish up your act (=improve how you do something)
   ▪ A sixteen-year old street musician from Oxford has polished up his act and won a national jazz competition.
   ■ SIMILAR TO: brush up
  2.   polish up sth • polish sth up to rub an object with a piece of cloth in order to make it shine:
   ▪ Put a clean shirt on and polish up those shoes - make yourself look respectable.
   ■ SIMILAR TO: ↑polish
  3.  polish up your image/reputation to make an effort to improve the way you seem to other people so that they will have a better opinion of you:
   ▪ The government was trying to polish up its image after a year of negative publicity in 1995.
   ■ SIMILAR TO: ↑clean up"
ponderous,"- adj. 沉重的，笨重的
- 呆板的；沉闷的"
popularization,n. 普及
popularize,"- vt. 使受欢迎，使有名望
- 普及，推广
- 使通俗化；使易懂

时 态:  
popularized，popularizing，popularizes 

名 词:  
popularization

名 词:  
popularizer"
porch,n. 门廊；走廊
pore,"pore
  [pored, pored, poring]
 pore over 
     pore over sth to read, or study something very carefully for a long time:
   ▪ We pore over the local newspaper every week, hoping to find an affordable apartment.
   ▪ Most evenings, my father sits in his chair and pore over an issue of National Geographic."
pork,"pork
  [porked, porked, porking]
 pork out 
    port out AmE to eat a lot of food, especially food that is bad for you:
   ▪ My diet was going well, but then I totally porked out this weekend.
   ■ SIMILAR TO: ↑pig out  informal, stuff yourself  informal"
porosity,"n. 多孔性,有孔性"
porridge,"- n. 粥, 麦片粥
- 坐牢；蹲班房"
portmanteau,"n. 旅行皮箱,混成词"
possess,"possess
 be possessed of 
     be possessed of sth formal to have a particular quality or ability:
   ▪ She was possessed of extraordinary powers of concentration.
   ▪ They knew of only one man who was possessed of such knowledge.
   ■ SIMILAR TO: ↑have"
possessive,"- adj. 所有(权)的；不愿分享的
- 所属关系的，所有格的
- n. 表示所属关系的词或词语形式
- adv. 占有地；所属关系地
- n. 占有，占有欲
- 所有格形容词"
postpone,"- vt. 使…延期；把…放在次要地位；把…放在后面
- vi. 延缓，延迟；延缓发作


时 态:  
postponed, postponing, postpones 

名 词:  
postponement

名 词:  
postponer"
postprocessing,n. 后加工
pot,"pot
  [potted, potted, potting]
 pot on 
     pot on sth • pot sth on BrE to move a young plant to a larger pot:
   ▪ The cuttings should be potted on once the new growth has started to emerge.
 pot up 
     pot up sth • pot sth up BrE to put a plant in a pot:
   ▪ Pot up the seedlings after 2-3 weeks."
potential,"adj. 潜在的, 有可能的
n. 潜力；电位；电势；可能性

副 词:  
potentially"
pound,"pound
 pound out 
  1.   pound out  usually progressive
  if music is pounding out, it is playing very loudly:
   ▪ Heavy metal music was pounding out in my son's bedroom.
  if you pound out music, you play it very loudly on instruments:
   ▪ I turned on the TV to see the Rolling Stones pounding out one of their old numbers.
  2.   pound out sth • pound sth out to write something very quickly, especially on a computer or typewriter:
   ▪ Follet was pounding out the final chapter of his latest spy thriller on his old typewriter.
  3.  pound out hits/wins/a victory especially AmE to succeed in achieving a winning score in a game of sport, by competing very hard:
   ▪ In the second game, the Waves pounded out 14 hits against the Broncos."
preach,"- vt. & vi. 讲道
- 劝诫；说教

时 态:  
preached，preaching，preaches"
precept,n. 格言；规则；训诫；命令
predate,"v. 提早日期,居先

时 态:  
predated, predating, predates"
predicate,"- vt. 断言；断定
- n. 谓语

时 态:  
predicated, predicating, predicates 

名 词:  
predication

形容词:  
predicative

副 词:  
predicatively"
prejudice,"- n. 成见, 偏见, 歧视
- vt. 使有偏见
- 不利于, 损害

时 态:  
prejudiced, prejudicing, prejudices"
preliminary,"- adj. 初步的, 预备的, 开端的
- n. 准备工作, 初步行动"
preposition,"n. 介词

时 态:  
prepositioned, prepositioning, prepositions"
prerogative,"- n. 权利,特权
- 大主教法庭
- 总督委任组成的法庭"
prescription,"- n. 药, 治疗方法
- 处方, 药方
- 开处方, 开药"
presidency,"- n. 总统的职位
- 总统的任期"
press,"press
  [pressed, pressed, pressing]
 press ahead 
     press ahead to continue doing something in a determined way, especially when it is difficult:
   ▪ We will press ahead to complete the construction as soon as possible.
   + with
   ▪ Iliescu said the government must press ahead with reforms, despite growing opposition.
   ■ SIMILAR TO: ↑press on, ↑press forward ►  compare  ↑go ahead
 press for 
  1.   press for sth • press sb for sth to keep trying to persuade the government or someone in authority to do something or to give you something - used especially in news reports:
   ▪ Russia and China were pressing for an end to the bombing of Kosovo.
   ▪ The engineering unions have been pressing for a 35 hour working week.
   ▪ Brazil's Catholic Church has encouraged its members to press the government for social reform.
   ■ SIMILAR TO: ↑push for
  2.  be pressed for time/money/space etc to not have enough time, money, space etc, with the result that it is difficult for you to do something:
   ▪ If you are pressed for time in the mornings, try setting the alarm 30 minutes earlier.
   ▪ I'd love to go out for a meal, but I'm a little pressed for cash right now.
   ■ SIMILAR TO: be short of
 press forward 
     press forward to continue doing something in a determined way, especially even though it is difficult or you face opposition
   + with
   ▪ Eastwood plans to press forward with his $20 million lawsuit against the paper.
   ▪ France and Germany decided to press forward with plans for economic and monetary union.
   ■ SIMILAR TO: ↑press ahead, ↑press on
 press on 
  1.   press on to continue doing something in a determined way, even though it is difficult
   + with
   ▪ Gorbachev was keen to press on with modernizing the party.
   ▪ Rebels vowed to press on with their efforts to overthrow the current government.
   ▪ After university, she pressed on with her ambition to become a journalist, despite fierce competition for jobs.
   ■ SIMILAR TO: ↑press ahead, ↑press forward ►  compare  ↑go ahead
  2.   press on to continue with your journey, even though it is very difficult:
   ▪ The soldiers pressed on, hoping to reach camp before nightfall.
   ▪ I know you're all tired, but I think we should press on.
   ■ SIMILAR TO: ↑press ahead, ↑press forward, ↑push on
 press on/upon ! Press upon  is more formal than  press on, and is mostly used in writing.
     press sth on/upon sb to offer something to someone in a very forceful way, so that it is very difficult for them to refuse to accept it:
   ▪ Mrs. Donovan pressed the gown upon Heidi and insisted she wear it to the party.
   ▪ Nick kept pressing drinks on me all night."
